% Model,case5_base_model.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 14:32"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
35,284.9640122001962,284.92845485339296,284.93322614979894
36,284.9405550212592,284.90510369134495,284.9098480076383
37,284.9182477749492,284.882906323488,284.8876260391201
38,284.89061728000405,284.8553923196212,284.8600803976716
39,284.8534653860533,284.81836774530126,284.8230160127451
40,284.8148433287946,284.7798776702427,284.78448663643627
41,284.77681861454846,284.7419853802267,284.7465548275076
42,284.7428633834431,284.7081573794949,284.7126880786199
43,284.7227530065697,284.6881564296609,284.6926563824251
44,284.70108285237126,284.66658880622515,284.67105274873154
45,284.6724868471749,284.6380957034518,284.64251858549454
46,284.64896148554527,284.61466752225994,284.61906683834553
47,284.6901618906564,284.65589890917363,284.6603182382845
48,284.7587017063283,284.7244133505231,284.72885406242114
49,284.830419525399,284.79607478842973,284.8005357411818
50,284.9006419510628,284.86622653102455,284.87072172609464
51,284.9593211044395,284.9248420465771,284.929377570851
52,285.00400566501463,284.96948243795396,284.9740567593818
53,285.0297304238411,284.9951926386996,284.99979553811704
54,285.03128340100045,284.9967695984399,285.0013845450571
55,285.0020693127428,284.9676281593963,284.97223300734754
56,284.9549879772792,284.9206594557616,284.9252410453732
57,284.90611481386935,284.87191860090724,284.87647454280216
58,284.87086509794307,284.83679886666323,284.8413302277581
59,284.8310671489106,284.79712718189865,284.8016071809247
60,284.78271577713,284.74890542500344,284.7533324288101
61,284.7395071641698,284.705821478086,284.7102069230784
62,284.710909800778,284.6773318903249,284.6816859046315
63,284.67901013367106,284.64553480784423,284.6498500345471
64,284.6278115805082,284.59445374939656,284.59871825698025
65,284.58763127138224,284.5543852873574,284.5586152181842
66,284.5627814316378,284.5296322187412,284.5338420049872
67,284.562600431958,284.5295126561176,284.5337019225222
68,284.5448767391932,284.51185032068594,284.5160063875258
69,284.5388235195821,284.5058452628874,284.50998841045447
70,284.54555341651115,284.51260615345313,284.51674914321217
71,284.58437083278415,284.5514156573898,284.5555779953395
72,284.6653152373264,284.63229274327676,284.6364980987616
73,284.74940214045535,284.71628306902625,284.7205282214873
74,284.81982635805616,284.78660984391377,284.7908857351956
75,284.86809309980555,284.8348002015965,284.8391248796053
76,284.8884706063809,284.85514379687737,284.85950319449853
77,284.90509131578864,284.8717558454646,284.8761473184334
78,284.90465773268244,284.8713441411661,284.87574762758743
79,284.8840238299319,284.850762356833,284.8551555546318
80,284.8593459147959,284.8261554637721,284.8305442430275
81,284.8381955653635,284.80508526294034,284.80946834294906
82,284.82384644165893,284.79081435496005,284.7951771797391
83,284.81460791252886,284.78163817347865,284.78597698083234
84,284.8065404922658,284.7736241342692,284.7779452559289
85,284.79383051726205,284.76096829833,284.7652724865923
86,284.7816028669869,284.7487944781045,284.75308535586356
87,284.77300270738687,284.74024469899297,284.7445251106149
88,284.75820219895354,284.7254988363499,284.7297626145031
89,284.7446649319675,284.71201591949523,284.71626548801873
90,284.7314215054185,284.6988263025576,284.70306285649525
91,284.7301312579339,284.6975773390979,284.70180767443964
92,284.72666092701473,284.6941444732403,284.6983643747414
93,284.7250621707699,284.69257865194214,284.6967909171362
94,284.72690233866126,284.6944465468107,284.69865628616895
95,284.738895206114,284.70645586484335,284.71067130900997
96,284.7606220761399,284.7281846343065,284.73240775266345
97,284.79126685444083,284.7588112937497,284.7630466021767
98,284.8000804110322,284.76762146827065,284.77185786886344
99,284.8131995587873,284.7807396692745,284.78498986089943
100,284.8211597320579,284.7887074160702,284.79296795811973
101,284.81890729625866,284.78647713606773,284.79073817917254
102,284.8127322947491,284.7803342654409,284.78459351938926
103,284.8025552123681,284.7701978852441,284.77445168830326
104,284.7871563738508,284.7548486515559,284.75909142248844
105,284.7762913263906,284.74403210181646,284.7482661761827
106,284.7692309651269,284.73701528570354,284.74123984465626
107,284.7606172429015,284.7284440352359,284.73265658993137
108,284.75175023781196,284.7196183155867,284.7238197440292
109,284.7436860813681,284.71159396157896,284.7157861422765
110,284.7358011784353,284.7037479637638,284.7079307993902
111,284.72952616821897,284.6975097151517,284.70168421878645
112,284.7244963926893,284.692514027044,284.69668083729846
113,284.7170634272986,284.68511548195175,284.6892719877863
114,284.7102624783747,284.6783482575878,284.68249795053185
115,284.70870856139976,284.67682359703184,284.68097235166823
116,284.70322890868994,284.6713747129473,284.67551306783326
117,284.69872977786207,284.666904307387,284.6710367613792
118,284.6907216416681,284.6589283273935,284.6630534371145
119,284.6975984514155,284.6658233100653,284.66995277752216
120,284.712308629177,284.68053913580576,284.6846732198594
121,284.7330760478456,284.70129920456804,284.7054412546333
122,284.75300266297603,284.7212131806787,284.7253642584765
123,284.7758203976312,284.7440131346313,284.74817887484875
124,284.7801271156058,284.74831663285045,284.7524816943115
125,284.77297118082566,284.74117942444616,284.74534914085615
126,284.7663854215732,284.73462209775795,284.73879605114047
127,284.7476220222686,284.71590412228966,284.7200672157725
128,284.7195155422975,284.68785879816704,284.6920028662322
129,284.69239760693074,284.6608066235875,284.6649349246803
130,284.67895592834265,284.6474225646319,284.6515430188449
131,284.65292102917755,284.6214513906589,284.625534346114
132,284.6237934323729,284.5923871084724,284.5964434775621
133,284.5940198207275,284.5626794424548,284.56672131014506
134,284.5645190690037,284.533249299173,284.53726660723845
135,284.55646449593047,284.52524306152446,284.5292484628741
136,284.5491690571752,284.51798421297906,284.5219735910212
137,284.55532437550914,284.52415603291934,284.52814044714125
138,284.5606488713918,284.5294888091199,284.5334693469853
139,284.5634004298967,284.5322475464813,284.5362259813275
140,284.56577586795504,284.53463047091304,284.5386105909341
141,284.559881749486,284.52875308057065,284.5327303147282
142,284.55578849592524,284.5246789439805,284.52865698494776
143,284.57493779824586,284.54382609783113,284.5478190466277
144,284.60574566940676,284.57461102145294,284.578619510849
145,284.6307416703664,284.5995795827425,284.60359746234775
146,284.6612337834778,284.63003615237426,284.6340735702321
147,284.6853289058216,284.6540991744109,284.6581566091536
148,284.7087125284858,284.6774544481226,284.6815329166754
149,284.72551215993,284.6942348460157,284.6983299754819
150,284.7205534321196,284.68928316741665,284.6933799826306
151,284.7094137080359,284.67816836254576,284.68226635186295
152,284.68490703171744,284.6537090835913,284.6577972758801
153,284.6543944758772,284.6232599127389,284.6273314202241
154,284.6289108920338,284.59784204713804,284.6018999583487
155,284.607776562722,284.57677010533155,284.5808093890115
156,284.58422398028813,284.55327661022335,284.55728861460244
157,284.56270550869186,284.53181282712046,284.53580326018164
158,284.537283636974,284.50644768582595,284.51041583547135
159,284.50925608905993,284.47848022104716,284.48242533812504
160,284.4808936491411,284.45017937249173,284.4541018473743
161,284.4537460795122,284.4230928386291,284.4269936387646
162,284.42619507937053,284.3956025457902,284.399479075398
163,284.40566156077784,284.37512120917216,284.3789786515168
164,284.3895396436479,284.35904308482066,284.36288376861387
165,284.38179471449797,284.351329373588,284.3551588103957
166,284.373214750629,284.34277552545166,284.34659289318836
167,284.41165048816373,284.3811875986192,284.3850286954333
168,284.5037216997681,284.47317064617096,284.4770739237055
169,284.590211635027,284.55954570263947,284.563460034106
170,284.6611309061456,284.63033066515356,284.6342689387763
171,284.71378409210826,284.68285602856673,284.6868701913832
172,284.7497922526261,284.71877914405087,284.7228681011947
173,284.76861774441863,284.73757442767317,284.741693779174
174,284.7608116944397,284.7297775198719,284.7339009261215
175,284.7269596141444,284.69597556840677,284.70008716524956
176,284.6783108661759,284.6474108402755,284.65150123705814
177,284.63479452981176,284.60399007567725,284.6080578946911
178,284.58867505504134,284.55797099368925,284.56200293822315
179,284.5444588529939,284.5138533364022,284.51784654147644
180,284.5033319942678,284.47281927014075,284.4767747347644
181,284.46432300479876,284.4338979159039,284.43781657117484
182,284.4266793967511,284.39633681799603,284.4002185779538
183,284.4085785150775,284.37829724723065,284.3821613923877
184,284.398054309587,284.36781599749577,284.37165828226017
185,284.3802556074631,284.35005442940303,284.3538624754683
186,284.3604582814946,284.3302903422404,284.3340825329643
187,284.3395710675175,284.3094399970893,284.3132283674257
188,284.31798961026993,284.2879031178131,284.2916783897361
189,284.30114780471933,284.2711031360434,284.2748622249045
190,284.2975709207331,284.26755031666585,284.2713016099419
191,284.3074416059672,284.277423802595,284.28117609608034
192,284.33263259076455,284.30259275872663,284.306355907506
193,284.3868155341705,284.3567135772029,284.36050828911925
194,284.4413387959521,284.41115744461064,284.4149818937996
195,284.48857062393824,284.45830916711463,284.46216442368467
196,284.5057601913594,284.4754493642277,284.47932390421187
197,284.49869757399284,284.46837107164697,284.47225526793557
198,284.4796687316365,284.4493597299662,284.4532614073803
199,284.4471047960794,284.416853507971,284.4207469361641
200,284.41835704260143,284.38817122130905,284.3920477926149
201,284.3920595014908,284.3619369727701,284.3657916406297
202,284.370587377589,284.34052011278396,284.34435397425136
203,284.3521811863213,284.3221631755395,284.3259776836354
204,284.3409818460198,284.31099968401156,284.31479999473675
205,284.34045128559234,284.3104898008782,284.314283715362
206,284.3374715897256,284.30752571151726,284.3113109699891
207,284.3298618232526,284.29993274778093,284.30370678263927
208,284.32053003893463,284.29061969963374,284.2943896345357
209,284.31776827456264,284.2878739644633,284.29164850331387
210,284.3108715971854,284.2809967135853,284.284762214576
211,284.31252710726574,284.28266348639505,284.286427388114
212,284.3010218133319,284.27117543639173,284.27492678119876
213,284.28943688290195,284.2596117284902,284.26335900534224
214,284.283979283076,284.25417399733266,284.25792749416024
215,284.2986807157779,284.26887898733577,284.2726440684456
216,284.3303756836018,284.3005451714389,284.30431750851494
217,284.3616266119955,284.3317533488535,284.3355375672549
218,284.38454499883,284.35463162623444,284.3584308072293
219,284.41747784814635,284.3875169301013,284.3913456860526
220,284.44015334204175,284.410154236462,284.4140037888963
221,284.4599921403757,284.4299619451903,284.4338312953426
222,284.47233596298344,284.44228598869546,284.4461707661112
223,284.47236663667337,284.4423148416599,284.44620646143244
224,284.46952485997394,284.4394823830537,284.44337962623706
225,284.4613481562116,284.43132587097557,284.43522266895377
226,284.4534153831511,284.4234176838325,284.42731168546834
227,284.44646008264914,284.4164875249534,284.42037688066995
228,284.4355409965373,284.40559722765096,284.40947718817284
229,284.4185076303656,284.3885989506467,284.39246423563725
230,284.4011384261598,284.3712688567661,284.3751238117541
231,284.3789588927364,284.3491349377135,284.35297396358004
232,284.35444679800185,284.3246729917392,284.3284932852538
233,284.33357733524133,284.30385139621933,284.30765527233274
234,284.3107402320656,284.28106271323736,284.2848469877323
235,284.298194737333,284.2685548119037,284.27232666679333
236,284.2916587987604,284.2620452860677,284.2658070552148
237,284.28596418523193,284.2563706551949,284.2601221325258
238,284.2839129207611,284.2543323023001,284.2580783496153
239,284.3124230010601,284.2828216611676,284.286585656508
240,284.3616871133705,284.3320302548662,284.3358209400649
241,284.41099401611956,284.3812658085093,284.38508058072404
242,284.45200090849295,284.4222018394063,284.4260426042414
243,284.4841150364919,284.45425523796916,284.4581256100101
244,284.50227405727395,284.47237429470437,284.47626897820686
245,284.50536948085244,284.47545238145665,284.4793608077678
246,284.4977501159256,284.46783919796127,284.4717585276259
247,284.48972998188646,284.4598409302233,284.4637699431383
248,284.48369702228956,284.4538365547411,284.45776362486123
249,284.4732518549814,284.4434233364096,284.4473333361938
250,284.46371793155464,284.4339179462151,284.43781721386495
251,284.4615472547297,284.4317679189741,284.43566889690806
252,284.45806466395373,284.4283042983379,284.4321969175122
253,284.4590083669706,284.4292604133257,284.43314908403056
254,284.45458336525354,284.42485005670466,284.428732618019
255,284.43540542276656,284.4057003386543,284.4095654466721
256,284.4057242870976,284.37606751099605,284.3799189246198
257,284.3732861217696,284.3436894320542,284.34752324128635
258,284.3398366792383,284.3103059168978,284.3141164268487
259,284.3056536011512,284.27619090038786,284.279974068975
260,284.2743562982443,284.24495851245166,284.2487150304859
261,284.24773433606646,284.21839452278687,284.22212667978243
262,284.2281954365622,284.19890404056434,284.20261690296394
263,284.2213065186948,284.19204658363054,284.1957471695885
264,284.23643072487596,284.20716766813086,284.21086776143846
265,284.2529144590001,284.2236328676285,284.2273343370003
266,284.2649226456214,284.23562023120905,284.23932524633767
267,284.2835908857827,284.254260656561,284.25798079295
268,284.2695945829554,284.24026790742545,284.2439807157098
269,284.26376605812317,284.23444853925776,284.23816740255876
