% Model,case4_base_model_nu0.001_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 22:46"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
233,278.995830830251,278.99760629420126,279.0294868246269
234,278.89408124195194,278.8963388007178,278.928303355962
235,278.8398306500768,278.8424700827347,278.87455196014326
236,278.81330203969503,278.81621557035385,278.84842138060503
237,278.79069691819683,278.7937969147548,278.8261179453157
238,278.7849524553847,278.78814975838975,278.82059703644035
239,278.9200794538546,278.9231658416628,278.9558302789164
240,279.15068873904613,279.1534609145128,279.1863669654923
241,279.3813675579655,279.3837215102161,279.41684321646204
242,279.5738035563611,279.57572081370824,279.60905222577793
243,279.72533300124906,279.7268483938191,279.7603902846631
244,279.8126789821469,279.8138843624742,279.8475972592061
245,279.8307604679692,279.831759941022,279.86558400696754
246,279.7996235426778,279.8005300810715,279.8344397037665
247,279.76673182460075,279.76762697991853,279.8016022940864
248,279.74301620100084,279.74394593345096,279.7779194120456
249,279.69899269805535,279.699993549245,279.73388374369
250,279.6592085152814,279.66028977194964,279.6941149039337
251,279.65332949466523,279.654482837724,279.68829078370425
252,279.64135325455493,279.6426165151921,279.6763553369667
253,279.6497439789117,279.65112595052454,279.6848146329361
254,279.6333804187529,279.63492739573684,279.6685592239817
255,279.54908223802056,279.5508808065773,279.5844083615979
256,279.4165144875622,279.418662895799,279.4521100138182
257,279.27132600776065,279.2738507125354,279.30720280972486
258,279.12156194239196,279.1244275536338,279.1576592154182
259,278.9685283297263,278.971647636998,279.00473854067553
260,278.828930595064,278.83216218514207,278.8651112793528
261,278.71102109302063,278.7141873324878,278.7469993733439
262,278.6258640143488,278.6288044500636,278.6614974279594
263,278.5991280894243,278.6016290292865,278.6342282555693
264,278.67393589628534,278.67566956838533,278.7082190644636
265,278.75497262403405,278.75578519932026,278.78828850241024
266,278.81539443737637,278.81524129564474,278.84770447810746
267,278.90650487056666,278.9053599104609,278.93783167583683
268,278.84704481684247,278.84509321371127,278.8774724484883
269,278.8253153080126,278.82264085783777,278.854986596592
270,278.7736982882165,278.7704264760045,278.80270543269336
271,278.6861877945123,278.6824657222577,278.7146309265914
272,278.5581135548475,278.5541059288988,278.5861224430347
273,278.4416669154089,278.4375114311191,278.4693816023721
274,278.3239307954736,278.3197369445252,278.3514338508285
275,278.236889005905,278.2327107388291,278.2642485973422
276,278.14265079874326,278.1386043020192,278.16994697809645
277,278.0778905689024,278.07403207134865,278.10521182366296
278,277.9939981728737,277.990407986953,278.021420358348
279,277.90115572606646,277.89789163046095,277.928740218484
280,277.8337874013808,277.83086752334174,277.8616004684512
281,277.73612946565265,277.73358839754786,277.7641661260714
282,277.641405903675,277.6392027337722,277.66964727567927
283,277.61587618813326,277.6138692061925,277.64423497456204
284,277.54855837835527,277.54666808778677,277.5769053617784
285,277.48810397350843,277.4862196055059,277.5163405522078
286,277.4686385281726,277.4666090268609,277.4966487927433
287,277.6731900147405,277.670666742038,277.7007648054189
288,277.9774256875179,277.97410417714605,278.00427365614775
289,278.23144331186325,278.2271818281076,278.257381019628
290,278.4463660204416,278.4410902884255,278.4713581086006
291,278.6463761952382,278.6400527357695,278.6704302282259
292,278.7517529363979,278.74447329771397,278.77490006753646
293,278.78742836838944,278.7793254786774,278.8097599593221
294,278.76748594115617,278.75871901746444,278.7891230232224
295,278.71591545134066,278.70661224136927,278.7369552866581
296,278.6676015536916,278.65792830248006,278.6881857512198
297,278.5614388359188,278.5516070343751,278.5817026715848
298,278.49622703077415,278.4863470672827,278.51631505793387
299,278.44185385805594,278.43200497133347,278.46182746561783
300,278.405156834852,278.39546925286106,278.4251491623634
301,278.3794826957812,278.37003156106516,278.39958766961456
302,278.36391495830856,278.35476757938176,278.38422132434425
303,278.3585446254162,278.34974081301186,278.37911203762684
304,278.3403557673119,278.33194107342814,278.3612290346692
305,278.31829874163543,278.31029763892377,278.3395284896184
306,278.28377287454185,278.27619471349715,278.30538170220785
307,278.24878411042937,278.2415942857368,278.2707428670061
308,278.22782838145605,278.2209624491797,278.250078196286
309,278.19074212764883,278.1841494311391,278.2132138905142
310,278.21067762711755,278.20422276582923,278.23327828359885
311,278.3333833627265,278.32685259455434,278.3559509852964
312,278.48046262961077,278.47369509668135,278.5028273446397
313,278.7019969058307,278.6947753571242,278.72400204603525
314,278.88425155727816,278.87646722224304,278.90576714567686
315,279.02403274858233,279.0156273124442,279.0449978554172
316,279.11209226841555,279.10304757137664,279.13247867245207
317,279.1952213130309,279.1854970679136,279.2149923868575
318,279.19041221996724,279.18005224130485,279.20953497219773
319,279.07851329166255,279.06762457297316,279.09702184646187
320,278.9523914392322,278.9410363037375,278.9703488553218
321,278.8134485650583,278.8016899808786,278.83088648414713
322,278.69021542442323,278.67809567746554,278.70715785774803
323,278.57849559710496,278.5660439545696,278.5949622357806
324,278.4616018642104,278.44887423898604,278.4776274725369
325,278.34365863362916,278.3307324697378,278.35933366049085
326,278.2249450669997,278.2119268796349,278.24038976087775
327,278.11407124389854,278.1011273607337,278.1294382620159
328,278.01313006702816,278.00035509117004,278.0285046794404
329,277.8651875550898,277.8526894104642,277.8806338831379
330,277.75570197893256,277.7434953644124,277.7712760108777
331,277.655012308508,277.6430894480212,277.67069297847166
332,277.57486554396183,277.56318296889,277.59059111011965
333,277.5153932585107,277.5038449706798,277.53107980494184
334,277.51472457737725,277.50318959741895,277.53030228084947
335,277.5822790193061,277.5706296994219,277.5976623013199
336,277.7638350035712,277.75190906389054,277.77893081381654
337,277.9757741946032,277.9634941974979,277.9905116109163
