% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
144,280.0210002605272,280.04129735317264,280.05791264050646
145,280.1376521737402,280.1573943417538,280.17399140039703
146,280.27972603757354,280.2988663269521,280.31544118448807
147,280.3925199631816,280.41112208349074,280.42766165480714
148,280.50187639646333,280.520054926235,280.53656897326243
149,280.58087336950456,280.5987598959209,280.61525486047447
150,280.5599260394364,280.57775903782624,280.5942445885424
151,280.50945616800794,280.5275884280348,280.544157545839
152,280.39681203797477,280.41555820625433,280.43226553439456
153,280.25573528481334,280.27537807156557,280.2922838433052
154,280.136828010624,280.1575524513303,280.1747224407254
155,280.0386255075516,280.06041753750833,280.07784240827607
156,279.9290497647327,279.9518075101188,279.9694541843816
157,279.828840645762,279.85256325254244,279.8704646717727
158,279.71088775407566,279.7355877210945,279.7537630118831
159,279.58095223018285,279.60666898696775,279.6251443536234
160,279.4494887962739,279.47625700304474,279.49505776993215
161,279.3237404781983,279.3515673961725,279.370712554771
162,279.1953655973345,279.2241653216376,279.24363806699506
163,279.10002337772727,279.1296919963863,279.1494901076175
164,279.02527148152296,279.05563640246214,279.0757240864196
165,278.9894103270436,279.0202651006203,279.04060302352246
166,278.9504215310027,278.98156914780725,279.0020967765506
167,279.1272326925779,279.1583395394268,279.17907262013966
168,279.56722892755505,279.5974752696321,279.61827854757183
169,279.9741397308387,280.00269370328243,280.0232472215243
170,280.3055054287137,280.3319481138578,280.35208411429517
171,280.5506805925395,280.57538733153143,280.5952841163086
172,280.71846468450025,280.7420373456302,280.7618838143914
173,280.802055812076,280.82507225989076,280.8449041171741
174,280.7638472224,280.78663976477617,280.8064408464269
175,280.6142667631944,280.6373099587981,280.65715021377787
176,280.39334376618694,280.41714991351466,280.437124236818
177,280.1925055114656,280.2174463405648,280.23764698370377
178,279.9786102801162,280.00473844467945,280.02512838337856
179,279.7753726432899,279.80273005844566,279.82331322590255
180,279.5851285313496,279.6136993293136,279.6344624703475
