% Model,case4_base_model_solved_Q_1.3.mph
% Version,COMSOL 6.0.0.405
% Date,"May 2 2024, 18:54"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
77,281.9734873762739,281.96055582890034,281.97472224340464
78,281.97099999192,281.9580837328664,281.97246537527514
79,281.8781694092214,281.8654535549562,281.8798917411258
80,281.76495111088303,281.75253889155954,281.76704715316504
81,281.66695780260847,281.65490348226325,281.66949443957344
82,281.59913619993375,281.5874568422493,281.6020704443658
83,281.5538497014146,281.54251187121724,281.557122161632
84,281.5138189504643,281.50280497476126,281.5174401822435
85,281.4543103629807,281.4436416408211,281.45830908422937
86,281.3970333463091,281.38672127768785,281.40143935107875
87,281.35540161255415,281.3454369636534,281.3602220104311
88,281.28764802138005,281.2780332867627,281.2928620244167
89,281.22548329742835,281.2161818978369,281.23106481916403
90,281.16472811572584,281.1557028032424,281.1706440044662
91,281.1549952705316,281.1461135925855,281.1611355728046
92,281.1362049635134,281.12737524131234,281.14245324829363
93,281.1255902787121,281.1167149554154,281.13185253792193
94,281.1297447348505,281.12074134135025,281.13595340184287
95,281.17718844484295,281.1679395386629,281.18325272539226
96,281.26612523685014,281.256488496629,281.27190258493306
97,281.3931407067985,281.3829285958313,281.39845205281927
98,281.4276257403595,281.4168594165246,281.43243957386073
99,281.4805587656748,281.4692474900361,281.48493209219373
100,281.51166506345686,281.4998832359145,281.5156530165534
101,281.4994857379736,281.48736588238984,281.5031744730281
102,281.47070932799204,281.4583860414153,281.47421904153674
103,281.4249696171329,281.4125814791342,281.4284201244516
104,281.3570812633913,281.34476943065636,281.3605896915816
105,281.30845045170014,281.29632164275085,281.31213743819774
106,281.2759519178859,281.26408441689074,281.279902966359
107,281.2368370947845,281.2253126177983,281.2411391488201
108,281.19663356088205,281.1855324298896,281.20139222237447
109,281.1598293542385,281.14920556599657,281.1651252169609
110,281.12377595464187,281.1136834550936,281.1296872148867
111,281.0945614780031,281.085038347523,281.1011595985989
112,281.07065255620785,281.0617100188698,281.0779818067983
113,281.0365919153533,281.0282174505088,281.0446559707586
114,281.0053305413,280.99746523952086,281.014104415471
115,280.99649591217207,280.9890285267569,281.00590141750956
116,280.97114019070955,280.963962713002,280.98102734224256
117,280.9502523913049,280.94317630221224,280.9604337695176
118,280.9146263194372,280.9075681246319,280.924998388453
119,280.9424005505735,280.9351904717393,280.95282572991107
120,281.0035554346042,280.996056595495,281.0138845214788
121,281.0905418675019,281.0826188145589,281.10064012874426
122,281.17405792391844,281.16562966002374,281.18383690159686
123,281.26993797540297,281.2609532112498,281.27935918198415
124,281.28116550865576,281.27170852232666,281.29025132674764
125,281.2521953059303,281.24237944114816,281.2610444100629
126,281.22515205298885,281.2150783282584,281.2338647329372
127,281.1454697020219,281.1352926856135,281.15413608616234
128,281.0257362728059,281.015616691966,281.0344775879905
129,280.9079654594208,280.8980405010628,280.9169197305098
130,280.85371575980696,280.844022966852,280.86295249028507
131,280.73728371449863,280.72796860877645,280.74688508371975
132,280.61187790978687,280.60303334854126,280.62196990912815
133,280.4832684349988,280.4749787538561,280.4939589609489
134,280.3575257942299,280.34984729178984,280.36888950911634
135,280.3230100822073,280.31587806758586,280.33506144190505
136,280.29155330371134,280.2849235486032,280.30424670951436
137,280.3171705856165,280.31093419532664,280.3304562427447
138,280.3392031850687,280.33327922471744,280.35301354359007
139,280.3503427451026,280.3446630403277,280.3646199827855
140,280.3599642905201,280.35445584014764,280.37464852804453
141,280.3345477217376,280.3291711096264,280.34957337605545
142,280.31863529188064,280.3133181792963,280.333932802669
143,280.39891778025356,280.39348814347943,280.4143640308964
144,280.52915244676467,280.52345335054764,280.54458229605615
145,280.6351148554355,280.62908757139184,280.6504303204803
146,280.7679848758599,280.76158398113944,280.7831744572462
147,280.8692096179896,280.86248137423553,280.88429851708884
148,280.96772870681593,280.9607379557426,280.982779562779
149,281.03872829168034,281.0315834703469,281.05382447994054
150,281.01749892103146,281.01039477379476,281.03276940455527
151,280.97009651147977,280.96319353672044,280.98570271432453
152,280.8659473023511,280.85941999079785,280.88202752863805
153,280.73631705067226,280.730301841991,280.7529934803162
154,280.62805597674986,280.62261029757855,280.6454120466867
155,280.53823065100477,280.53338760443614,280.5562963862455
156,280.43809796382556,280.4338991862093,280.4569108741633
157,280.3466038156367,280.34305906839035,280.36622345592247
158,280.2385244939925,280.23565194666884,280.2589895166254
159,280.1194102704522,280.11721195516446,280.1407387950387
160,279.9989310585551,279.9973791960571,280.0211101302223
161,279.88366450429027,279.8827211453748,279.90666722566436
162,279.76675054803985,279.76635838771193,279.79051084479283
163,279.6780290075321,279.67808593488473,279.70246490313673
164,279.6095478384532,279.60993718393604,279.6345370424563
165,279.57555509646295,279.57614274389744,279.6009637570787
166,279.5408786958782,279.54155651859384,279.56657372765864
167,279.70524076802207,279.70570457629816,279.7310554845169
168,280.1117868023156,280.1116478306545,280.1374435416479
169,280.4757479618248,280.4748520244746,280.5009964310466
170,280.7781853569317,280.77648219304285,280.802978471324
171,281.004563210353,281.00209432981404,281.028960767936
172,281.15816935281083,281.1550140365407,281.18222736043555
173,281.2387194921527,281.2350548915855,281.26255536586854
174,281.2065793671817,281.2026108738828,281.23027558224965
175,281.0639931067064,281.0599476302958,281.08767573190164
176,280.85857154105935,280.8546479280972,280.8823780974703
177,280.6749148110355,280.6712273110812,280.6989390998644
178,280.4801770660908,280.4768050984293,280.5044362971692
179,280.2935177680687,280.29051682271825,280.3180518066447
180,280.1199723168292,280.11737800941387,280.1448212197874
181,279.9554090808116,279.95324283255184,279.980600010942
182,279.7966417067527,279.7949254847223,279.82220079438537
183,279.7209736919631,279.7196521810854,279.7469320292992
184,279.67744935960434,279.67645967520616,279.70373247343974
185,279.6030245399336,279.60232685288315,279.6295454806747
